destroy_severity,memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
0.7,adversarial_memory,exact_template_upper_bound,1.0,1.0,0.015292221400948334,-0.1630043148158376,0.19543034854462357,-1.0,2.0,0.9847077785990517,1.0,1.0,0.0,0.0,0.25,2048
0.7,coherent_memory,exact_template_upper_bound,1.0,1.0,0.015292221400948334,0.7930502602799258,0.7452550556923373,-1.0,2.0,0.9847077785990517,1.0,1.0,0.0,0.0,0.25,2048
0.7,destroyed_memory,exact_template_upper_bound,1.0,1.0,0.015292221400948334,0.20118114641670323,0.19356096759674088,-1.0,2.0,0.9847077785990517,1.0,1.0,0.0,0.0,0.25,2048
0.7,memory_swap,exact_template_upper_bound,1.0,1.0,0.015292221400948334,0.01334070711545916,0.012685798191466674,-1.0,2.0,0.9847077785990517,1.0,1.0,0.0,0.0,0.25,2048
0.7,shuffled_memory,exact_template_upper_bound,1.0,1.0,0.015292221400948334,0.13728106611286411,0.12251031851875252,-1.0,2.0,0.9847077785990517,1.0,1.0,0.0,0.0,0.25,2048
0.7,wrong_coherent_memory,exact_template_upper_bound,1.0,1.0,0.015292221400948334,0.01334070711545916,0.012685798191466674,-1.0,2.0,0.9847077785990517,1.0,1.0,0.0,0.0,0.25,2048
1.0,adversarial_memory,exact_template_upper_bound,1.0,1.0,0.01603052040259766,-0.1639040269134801,0.005140743195423686,-1.0,2.0,0.9839694795974023,1.0,1.0,0.0,0.0,0.25,2048
1.0,coherent_memory,exact_template_upper_bound,1.0,1.0,0.01603052040259766,0.7927632014615265,0.7450741608875926,-1.0,2.0,0.9839694795974023,1.0,1.0,0.0,0.0,0.25,2048
1.0,destroyed_memory,exact_template_upper_bound,1.0,1.0,0.01603052040259766,0.006194686182395716,0.007876691268511819,-1.0,2.0,0.9839694795974023,1.0,1.0,0.0,0.0,0.25,2048
1.0,memory_swap,exact_template_upper_bound,1.0,1.0,0.01603052040259766,0.013080923577669747,0.012431095054981913,-1.0,2.0,0.9839694795974023,1.0,1.0,0.0,0.0,0.25,2048
1.0,shuffled_memory,exact_template_upper_bound,1.0,1.0,0.01603052040259766,0.12887121317860636,0.11387218283628618,-1.0,2.0,0.9839694795974023,1.0,1.0,0.0,0.0,0.25,2048
1.0,wrong_coherent_memory,exact_template_upper_bound,1.0,1.0,0.01603052040259766,0.013080923577669747,0.012431095054981913,-1.0,2.0,0.9839694795974023,1.0,1.0,0.0,0.0,0.25,2048
0.7,coherent_memory,latent_memory_only,0.7930502602789984,0.7930502602789984,0.015292221400948334,0.7930502602799258,0.7452550556923373,0.20469156337272096,0.5883586969062774,0.7777580388780501,1.0,1.0,0.0,0.0,0.25,2048
1.0,coherent_memory,latent_memory_only,0.7927632014605995,0.7927632014605995,0.01603052040259766,0.7927632014615265,0.7450741608875926,0.20511265072141752,0.5876505507391819,0.7767326810580019,1.0,1.0,0.0,0.0,0.25,2048
0.7,coherent_memory,memory_bounded_arbiter,0.7528731971709026,0.7528731971709026,0.015292221400948334,0.7930502602799258,0.7452550556923373,0.1870455912662874,0.5658276059046152,0.7375809757699543,1.0,1.0,0.0,0.0,0.25,2048
1.0,coherent_memory,memory_bounded_arbiter,0.7525859321956345,0.7525859321956345,0.01603052040259766,0.7927632014615265,0.7450741608875926,0.1871716510476986,0.5654142811479359,0.7365554117930369,1.0,1.0,0.0,0.0,0.25,2048
0.7,coherent_memory,overdriven_arbiter,0.7473756219290668,0.7473756219290668,0.015292221400948334,0.7930502602799258,0.7452550556923373,0.16388641145142666,0.5834892104776401,0.7320834005281185,1.0,1.0,0.0,0.0,0.25,2048
1.0,coherent_memory,overdriven_arbiter,0.7471732746416472,0.7471732746416472,0.01603052040259766,0.7927632014615265,0.7450741608875926,0.16373643375068025,0.5834368408909669,0.7311427542390495,1.0,1.0,0.0,0.0,0.25,2048
0.7,coherent_memory,arbiter_only,0.7452550556914975,0.7452550556914975,0.015292221400948334,0.7930502602799258,0.7452550556923373,0.15845981825252564,0.5867952374389719,0.7299628342905492,1.0,1.0,0.0,0.0,0.25,2048
