memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
coherent_memory,speed_only_no_memory,0.2500762735167618,0.2500762735167618,0.015661370901772997,0.792906730870726,0.7451646082899649,0.17286544207738594,0.0772108314393759,0.23441490261498885,0.699951171875,0.699951171875,0.300048828125,0.0,0.25,4096
destroyed_memory,overdriven_arbiter,0.10986445603345146,0.10986445603345146,0.015661370901772997,0.10368791629954947,0.10071882943262635,0.17350296767246873,-0.06363851163901726,0.09420308513167847,0.37744140625,0.37744140625,0.62255859375,0.0,0.25,4096
destroyed_memory,memory_bounded_arbiter,0.10519970952480834,0.10519970952480834,0.015661370901772997,0.10368791629954947,0.10071882943262635,0.17459380344338846,-0.06939409391858012,0.08953833862303535,0.354736328125,0.354736328125,0.645263671875,0.0,0.25,4096
destroyed_memory,latent_memory_only,0.10368791629942589,0.10368791629942589,0.015661370901772997,0.10368791629954947,0.10071882943262635,0.1746377601606159,-0.07094984386119002,0.08802654539765291,0.35302734375,0.35302734375,0.64697265625,0.0,0.25,4096
destroyed_memory,arbiter_only,0.10071882943250814,0.10071882943250814,0.015661370901772997,0.10368791629954947,0.10071882943262635,0.17340062696498904,-0.0726817975324809,0.08505745853073514,0.35302734375,0.35302734375,0.64697265625,0.0,0.25,4096
adversarial_memory,arbiter_only,0.10028554586990684,0.10028554586990684,0.015661370901772997,-0.16345417086465885,0.10028554587002363,0.17505017294069078,-0.07476462707078395,0.08462417496813385,0.34716796875,0.34716796875,0.65283203125,0.0,0.25,4096
adversarial_memory,overdriven_arbiter,0.07342479442900385,0.07342479442900385,0.015661370901772997,-0.16345417086465885,0.10028554587002363,0.20271368540967025,-0.1292888909806664,0.057763423527230844,0.23583984375,0.23583984375,0.76416015625,0.0,0.25,4096
shuffled_memory,shuffled_label_control,0.1973290720513117,0.1917756641859514,0.015661370901772997,0.13307613964573523,0.11819125067751936,0.2957651335614193,-0.0984360615101076,0.1816677011495387,0.242401123046875,0.233062744140625,0.757598876953125,0.233062744140625,0.25,32768
wrong_coherent_memory,shuffled_label_control,0.13768855416447676,0.12727501017353143,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.02291267489370357,0.11477587927077318,0.12202718326270376,0.251617431640625,0.23175048828125,0.748382568359375,0.23175048828125,0.25,32768
memory_swap,shuffled_label_control,0.13768855416447676,0.12751878834765967,0.015661370901772997,0.013210815346564453,0.012558446623224294,0.02291267489370357,0.11477587927077318,0.12202718326270376,0.251617431640625,0.23138427734375,0.748382568359375,0.23138427734375,0.25,32768
adversarial_memory,shuffled_label_control,0.11936214153519549,0.1577019418795893,0.015661370901772997,-0.16345417086465885,0.10028554587002363,0.17627223540485246,-0.05691009386965697,0.10370077063342249,0.261444091796875,0.229705810546875,0.738555908203125,0.229705810546875,0.25,32768
destroyed_memory,shuffled_label_control,0.18708980058721306,0.12926964693878473,0.015661370901772997,0.10368791629954947,0.10071882943262635,0.026201611693809388,0.16088818889340364,0.17142842968544006,0.369140625,0.214447021484375,0.630859375,0.214447021484375,0.25,32768
destroyed_memory,speed_only_no_memory,0.045924751604066665,0.045924751604066665,0.015661370901772997,0.10368791629954947,0.10071882943262635,0.17192617493544496,-0.1260014233313783,0.030263380702293667,0.209716796875,0.209716796875,0.790283203125,0.0,0.25,4096
adversarial_memory,speed_only_no_memory,0.045875148254158,0.045875148254158,0.015661370901772997,-0.16345417086465885,0.10028554587002363,0.17278606601835877,-0.12691091776420077,0.030213777352385,0.203369140625,0.203369140625,0.796630859375,0.0,0.25,4096
coherent_memory,shuffled_label_control,0.5399342959309694,0.14220194843018874,0.015661370901772997,0.792906730870726,0.7451646082899649,0.028569467486729123,0.5113648284442402,0.5242729250291964,0.750640869140625,0.162628173828125,0.249359130859375,0.162628173828125,0.25,32768
adversarial_memory,observable_only,0.015661370901757867,0.015661370901757867,0.015661370901772997,-0.16345417086465885,0.10028554587002363,0.17077578018717599,-0.15511440928541811,-1.5128507120337694e-14,0.152587890625,0.152587890625,0.847412109375,0.0,0.25,4096
coherent_memory,observable_only,0.015661370901757867,0.015661370901757867,0.015661370901772997,0.792906730870726,0.7451646082899649,0.17077578018717599,-0.15511440928541811,-1.5128507120337694e-14,0.152587890625,0.152587890625,0.847412109375,0.0,0.25,4096
destroyed_memory,observable_only,0.015661370901757867,0.015661370901757867,0.015661370901772997,0.10368791629954947,0.10071882943262635,0.17077578018717599,-0.15511440928541811,-1.5128507120337694e-14,0.152587890625,0.152587890625,0.847412109375,0.0,0.25,4096
