memory_cap,memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
0.5,adversarial_memory,exact_template_upper_bound,1.0,1.0,0.015095085097264352,-0.12903863696296797,0.08559714205068224,-1.0,2.0,0.9849049149027357,1.0,1.0,0.0,0.0,0.25,2048
0.5,coherent_memory,exact_template_upper_bound,1.0,1.0,0.015095085097264352,0.6596403602874497,0.5966923486447684,-1.0,2.0,0.9849049149027357,1.0,1.0,0.0,0.0,0.25,2048
0.5,destroyed_memory,exact_template_upper_bound,1.0,1.0,0.015095085097264352,0.09505406991104468,0.08878150328396497,-1.0,2.0,0.9849049149027357,1.0,1.0,0.0,0.0,0.25,2048
0.5,memory_swap,exact_template_upper_bound,1.0,1.0,0.015095085097264352,0.01690628505995417,0.016333500964227286,-1.0,2.0,0.9849049149027357,1.0,1.0,0.0,0.0,0.25,2048
0.5,shuffled_memory,exact_template_upper_bound,1.0,1.0,0.015095085097264352,0.11650563104477145,0.1014040245769431,-1.0,2.0,0.9849049149027357,1.0,1.0,0.0,0.0,0.25,2048
0.5,wrong_coherent_memory,exact_template_upper_bound,1.0,1.0,0.015095085097264352,0.01690628505995417,0.016333500964227286,-1.0,2.0,0.9849049149027357,1.0,1.0,0.0,0.0,0.25,2048
1.0,adversarial_memory,exact_template_upper_bound,1.0,1.0,0.01622765670628164,-0.19786970476634974,0.11497394968936503,-1.0,2.0,0.9837723432937183,1.0,1.0,0.0,0.0,0.25,2048
1.0,coherent_memory,exact_template_upper_bound,1.0,1.0,0.01622765670628164,0.9261731014540024,0.8936368679351614,-1.0,2.0,0.9837723432937183,1.0,1.0,0.0,0.0,0.25,2048
1.0,destroyed_memory,exact_template_upper_bound,1.0,1.0,0.01622765670628164,0.11232176268805426,0.11265615558128772,-1.0,2.0,0.9837723432937183,1.0,1.0,0.0,0.0,0.25,2048
1.0,memory_swap,exact_template_upper_bound,1.0,1.0,0.01622765670628164,0.009515345633174738,0.008783392282221303,-1.0,2.0,0.9837723432937183,1.0,1.0,0.0,0.0,0.25,2048
