alias_leak,memory_condition,mode,target_similarity,scored_similarity,observable_similarity,memory_similarity,arbiter_similarity,nearest_non_target,dominance,closure_gain,recovered,scored_recovered,competitor_won,false_positive,observable_alias_chance,count
0.0,destroyed_memory,memory_bounded_arbiter,0.09543097051611116,0.09543097051611116,-0.0022069101143717073,0.09628525218062078,0.09630005251671742,0.17296340386310058,-0.07753243334698942,0.09763788063048286,0.333984375,0.333984375,0.666015625,0.0,0.25,2048
0.0,destroyed_memory,latent_memory_only,0.09628525218050735,0.09628525218050735,-0.0022069101143717073,0.09628525218062078,0.09630005251671742,0.1735611892885221,-0.07727593710801477,0.09849216229487905,0.33349609375,0.33349609375,0.66650390625,0.0,0.25,2048
0.02,adversarial_memory,overdriven_arbiter,0.08003812826746823,0.08003812826746823,0.0335296519179177,-0.1575297335332178,0.10607870321499553,0.20443711479929352,-0.12439898653182531,0.04650847634955053,0.24462890625,0.24462890625,0.75537109375,0.0,0.25,2048
0.02,destroyed_memory,speed_only_no_memory,0.062359177458175624,0.062359177458175624,0.0335296519179177,0.11109058041847816,0.10513760634853526,0.17334927131748987,-0.11099009385931424,0.028829525540257923,0.2431640625,0.2431640625,0.7568359375,0.0,0.25,2048
0.02,adversarial_memory,speed_only_no_memory,0.06262728532448855,0.06262728532448855,0.0335296519179177,-0.1575297335332178,0.10607870321499553,0.17388540331831517,-0.11125811799382664,0.029097633406570858,0.2421875,0.2421875,0.7578125,0.0,0.25,2048
0.0,memory_swap,shuffled_label_control,0.12898034002689765,0.12825067633024126,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.023796785953174863,0.1051835540737228,0.13118725014126936,0.232177734375,0.23590087890625,0.767822265625,0.23590087890625,0.25,16384
0.0,wrong_coherent_memory,shuffled_label_control,0.12898034002689765,0.1275523456184409,-0.0022069101143717073,0.007994252034626692,0.009659855002896204,0.023796785953174863,0.1051835540737228,0.13118725014126936,0.232177734375,0.2349853515625,0.767822265625,0.2349853515625,0.25,16384
0.0,shuffled_memory,shuffled_label_control,0.18690583993732052,0.19153573169544572,-0.0022069101143717073,0.12622026768223982,0.11103096939545556,0.2957334758240255,-0.10882763588670497,0.18911275005169223,0.23431396484375,0.233642578125,0.76568603515625,0.233642578125,0.25,16384
0.02,shuffled_memory,shuffled_label_control,0.20775230416530288,0.1920155966764571,0.0335296519179177,0.13993201160923066,0.12535153195958312,0.2957967912988131,-0.08804448713351022,0.17422265224738517,0.25048828125,0.23248291015625,0.74951171875,0.23248291015625,0.25,16384
0.0,adversarial_memory,shuffled_label_control,0.10941228237907742,0.15758486499229687,-0.0022069101143717073,-0.1693786081960999,0.09449238852505172,0.1753119442270562,-0.06589966184797877,0.11161919249344913,0.24737548828125,0.2313232421875,0.75262451171875,0.2313232421875,0.25,16384
0.02,wrong_coherent_memory,shuffled_label_control,0.14639676830205586,0.12699767472862197,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.02202856383423228,0.12436820446782357,0.11286711638413816,0.27105712890625,0.228515625,0.72894287109375,0.228515625,0.25,16384
0.02,adversarial_memory,shuffled_label_control,0.12931200069131357,0.15781901876688173,0.0335296519179177,-0.1575297335332178,0.10607870321499553,0.17723252658264874,-0.04792052589133518,0.09578234877339586,0.2755126953125,0.22808837890625,0.7244873046875,0.22808837890625,0.25,16384
0.0,adversarial_memory,overdriven_arbiter,0.06681146059053945,0.06681146059053945,-0.0022069101143717073,-0.1693786081960999,0.09449238852505172,0.20099025602004694,-0.13417879542950747,0.06901837070491117,0.22705078125,0.22705078125,0.77294921875,0.0,0.25,2048
0.02,memory_swap,shuffled_label_control,0.14639676830205586,0.12678690036507806,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.02202856383423228,0.12436820446782357,0.11286711638413816,0.27105712890625,0.22686767578125,0.72894287109375,0.22686767578125,0.25,16384
0.0,destroyed_memory,shuffled_label_control,0.17718594854890868,0.1282004415474384,-0.0022069101143717073,0.09628525218062078,0.09630005251671742,0.024762941016006876,0.1524230075329018,0.1793928586632804,0.35137939453125,0.2152099609375,0.64862060546875,0.2152099609375,0.25,16384
0.02,destroyed_memory,shuffled_label_control,0.1969936526255174,0.1303388523301311,0.0335296519179177,0.11109058041847816,0.10513760634853526,0.027640282371611903,0.1693533702539055,0.1634640007075997,0.38690185546875,0.21368408203125,0.61309814453125,0.21368408203125,0.25,16384
0.02,adversarial_memory,observable_only,0.03352965191788522,0.03352965191788522,0.0335296519179177,-0.1575297335332178,0.10607870321499553,0.17170423094983672,-0.13817457903195152,-3.2477047847746115e-14,0.17919921875,0.17919921875,0.82080078125,0.0,0.25,2048
0.02,coherent_memory,observable_only,0.03352965191788522,0.03352965191788522,0.0335296519179177,0.7971894764488167,0.7500615547382381,0.17170423094983672,-0.13817457903195152,-3.2477047847746115e-14,0.17919921875,0.17919921875,0.82080078125,0.0,0.25,2048
0.02,destroyed_memory,observable_only,0.03352965191788522,0.03352965191788522,0.0335296519179177,0.11109058041847816,0.10513760634853526,0.17170423094983672,-0.13817457903195152,-3.2477047847746115e-14,0.17919921875,0.17919921875,0.82080078125,0.0,0.25,2048
0.02,memory_swap,observable_only,0.03352965191788522,0.03352965191788522,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.17170423094983672,-0.13817457903195152,-3.2477047847746115e-14,0.17919921875,0.17919921875,0.82080078125,0.0,0.25,2048
0.02,shuffled_memory,observable_only,0.03352965191788522,0.03352965191788522,0.0335296519179177,0.13993201160923066,0.12535153195958312,0.17170423094983672,-0.13817457903195152,-3.2477047847746115e-14,0.17919921875,0.17919921875,0.82080078125,0.0,0.25,2048
0.02,wrong_coherent_memory,observable_only,0.03352965191788522,0.03352965191788522,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.17170423094983672,-0.13817457903195152,-3.2477047847746115e-14,0.17919921875,0.17919921875,0.82080078125,0.0,0.25,2048
0.02,adversarial_memory,null_memory,0.03352965191773142,0.03352965191773142,0.0335296519179177,-0.1575297335332178,0.10607870321499553,0.1717042309490485,-0.13817457903131708,-1.862798076790078e-13,0.17919921875,0.17919921875,0.82080078125,0.0,0.25,2048
0.02,coherent_memory,null_memory,0.03352965191773142,0.03352965191773142,0.0335296519179177,0.7971894764488167,0.7500615547382381,0.1717042309490485,-0.13817457903131708,-1.862798076790078e-13,0.17919921875,0.17919921875,0.82080078125,0.0,0.25,2048
0.02,destroyed_memory,null_memory,0.03352965191773142,0.03352965191773142,0.0335296519179177,0.11109058041847816,0.10513760634853526,0.1717042309490485,-0.13817457903131708,-1.862798076790078e-13,0.17919921875,0.17919921875,0.82080078125,0.0,0.25,2048
0.02,memory_swap,null_memory,0.03352965191773142,0.03352965191773142,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.1717042309490485,-0.13817457903131708,-1.862798076790078e-13,0.17919921875,0.17919921875,0.82080078125,0.0,0.25,2048
0.02,shuffled_memory,null_memory,0.03352965191773142,0.03352965191773142,0.0335296519179177,0.13993201160923066,0.12535153195958312,0.1717042309490485,-0.13817457903131708,-1.862798076790078e-13,0.17919921875,0.17919921875,0.82080078125,0.0,0.25,2048
0.02,wrong_coherent_memory,null_memory,0.03352965191773142,0.03352965191773142,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.1717042309490485,-0.13817457903131708,-1.862798076790078e-13,0.17919921875,0.17919921875,0.82080078125,0.0,0.25,2048
0.02,memory_swap,speed_only_no_memory,0.03329579456901,0.03329579456901,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.17030791537114795,-0.13701212080213795,-0.00023385734890769367,0.177734375,0.177734375,0.822265625,0.0,0.25,2048
0.02,wrong_coherent_memory,speed_only_no_memory,0.03329579456901,0.03329579456901,0.0335296519179177,0.018427378658502212,0.015457038243552382,0.17030791537114795,-0.13701212080213795,-0.00023385734890769367,0.177734375,0.177734375,0.822265625,0.0,0.25,2048
0.0,destroyed_memory,speed_only_no_memory,0.029490325749957705,0.029490325749957705,-0.0022069101143717073,0.09628525218062078,0.09630005251671742,0.17050307855340002,-0.1410127528034423,0.03169723586432941,0.17626953125,0.17626953125,0.82373046875,0.0,0.25,2048
0.0,adversarial_memory,speed_only_no_memory,0.02912301118382744,0.02912301118382744,-0.0022069101143717073,-0.1693786081960999,0.09449238852505172,0.17168672871840235,-0.14256371753457492,0.03132992129819915,0.16455078125,0.16455078125,0.83544921875,0.0,0.25,2048
