condition,mode,noise,memory_cap,arbiter_speed,memory_true_similarity,memory_observable_similarity,memory_arbiter_similarity,count,target_similarity,nearest_non_target,dominance,recovered,competitor_won,coef_X,coef_X_std,coef_Phi,coef_Phi_std,coef_K,coef_K_std,coef_A,coef_A_std
adversarial_memory,memory_only,0.05666666666666667,0.625,3.1,-0.9633530956408454,-0.6708332800599732,-0.7379663018012564,2184.0,1.0,0.739298688237213,0.2607013117627871,1.0,0.0,,,,,,,,
adversarial_memory,calibrated_full,0.05666666666666667,0.625,3.1,-0.9633530956408454,-0.6708332800599732,-0.7379663018012564,2184.0,0.8549080019787991,0.8077199619635719,0.04718804001522721,0.7079594017094017,0.2920405982905983,-0.5226472904370965,0.13626764100218497,-0.2821900989696079,0.12430302509895884,-0.199892596891966,0.10640049688183345,-0.26809486496090656,0.16566047693693292
adversarial_memory,calibrated_no_observable,0.05666666666666667,0.625,3.1,-0.9633530956408454,-0.6708332800599732,-0.7379663018012564,2184.0,0.8549080019787991,0.8077199619635719,0.04718804001522721,0.7079594017094017,0.2920405982905983,-0.5226472904370965,0.13626764100218497,-0.2821900989696079,0.12430302509895884,-0.199892596891966,0.10640049688183345,-0.26809486496090656,0.16566047693693292
adversarial_memory,calibrated_no_arbiter,0.05666666666666667,0.625,3.1,-0.9633530956408454,-0.6708332800599732,-0.7379663018012564,2184.0,0.8290068307579888,0.8228728276781873,0.006134003079801475,0.48252442002442003,0.51747557997558,-0.5226472904370965,0.13626764100218497,-0.2821900989696079,0.12430302509895884,-0.199892596891966,0.10640049688183345,-0.26809486496090656,0.16566047693693292
adversarial_memory,shuffled_label_control,0.05666666666666667,0.625,3.1,-0.9633530956408454,-0.6708332800599732,-0.7379663018012564,2184.0,0.09510039474556481,0.8622224973347082,-0.7671221025891434,0.016170634920634922,0.9838293650793651,,,,,,,,
adversarial_memory,observable_only,0.05666666666666667,0.625,3.1,-0.9633530956408454,-0.6708332800599732,-0.7379663018012564,2184.0,0.0019409034770439507,0.3575379993374727,-0.3555970958604287,0.0158501221001221,0.9841498778998778,,,,,,,,
adversarial_memory,null_memory,0.05666666666666667,0.625,3.1,-0.9633530956408454,-0.6708332800599732,-0.7379663018012564,2184.0,0.0003430792554653999,0.3585604924557003,-0.3582174132002349,0.015712759462759462,0.9842872405372405,,,,,,,,
adversarial_memory,arbiter_only,0.05666666666666667,0.625,3.1,-0.9633530956408454,-0.6708332800599732,-0.7379663018012564,2184.0,-0.7375957859953514,0.3498752764476656,-1.087471062443017,0.0,1.0,,,,,,,,
adversarial_memory,speed_only_no_memory,0.05666666666666667,0.625,3.1,-0.9633530956408454,-0.6708332800599732,-0.7379663018012564,2184.0,-0.7375957859953514,0.3498752764476656,-1.087471062443017,0.0,1.0,,,,,,,,
coherent_memory,memory_only,0.05666666666666667,0.625,3.1,1.0,0.6963312599882504,0.7664367462771454,2184.0,1.0,0.7737898018811697,0.2262101981188304,1.0,0.0,,,,,,,,
coherent_memory,calibrated_full,0.05666666666666667,0.625,3.1,1.0,0.6963312599882504,0.7664367462771454,2184.0,0.8875724433104075,0.8269133632880868,0.060659080022320754,0.8811126373626373,0.11888736263736263,0.5428111704929903,0.10551354234356729,0.2937503250622117,0.09613490840085358,0.20829708581910114,0.08657406667891959,0.2775394683303975,0.12295986877415191
coherent_memory,calibrated_no_observable,0.05666666666666667,0.625,3.1,1.0,0.6963312599882504,0.7664367462771454,2184.0,0.8875724433104075,0.8269133632880868,0.060659080022320754,0.8811126373626373,0.11888736263736263,0.5428111704929903,0.10551354234356729,0.2937503250622117,0.09613490840085358,0.20829708581910114,0.08657406667891959,0.2775394683303975,0.12295986877415191
coherent_memory,speed_only_no_memory,0.05666666666666667,0.625,3.1,1.0,0.6963312599882504,0.7664367462771454,2184.0,0.7661336209401791,0.711913877822914,0.05421974311726504,0.7501297313797314,0.24987026862026862,,,,,,,,
coherent_memory,arbiter_only,0.05666666666666667,0.625,3.1,1.0,0.6963312599882504,0.7664367462771454,2184.0,0.7661336209401791,0.711913877822914,0.05421974311726503,0.7501297313797314,0.24987026862026862,,,,,,,,
coherent_memory,calibrated_no_arbiter,0.05666666666666667,0.625,3.1,1.0,0.6963312599882504,0.7664367462771454,2184.0,0.8606683562571759,0.8429109814255548,0.0177573748316211,0.6823183760683761,0.3176816239316239,0.5428111704929903,0.10551354234356729,0.2937503250622117,0.09613490840085358,0.20829708581910114,0.08657406667891959,0.2775394683303975,0.12295986877415191
coherent_memory,shuffled_label_control,0.05666666666666667,0.625,3.1,1.0,0.6963312599882504,0.7664367462771454,2184.0,0.09761783138469156,0.8907922452890109,-0.7931744139043193,0.01646062271062271,0.9835393772893772,,,,,,,,
coherent_memory,null_memory,0.05666666666666667,0.625,3.1,1.0,0.6963312599882504,0.7664367462771454,2184.0,-0.0006905590311051248,0.34782101456375847,-0.34851157359486357,0.01552960927960928,0.9844703907203908,,,,,,,,
coherent_memory,observable_only,0.05666666666666667,0.625,3.1,1.0,0.6963312599882504,0.7664367462771454,2184.0,-0.0016848642572633063,0.34372306076149534,-0.34540792501875867,0.014552808302808303,0.9854471916971917,,,,,,,,
destroyed_memory,memory_only,0.05666666666666667,0.625,3.1,-0.001532021769271444,9.153141185283415e-05,-0.0038706742522705622,2184.0,1.0,0.40116282191067665,0.5988371780893235,1.0,0.0,,,,,,,,
destroyed_memory,calibrated_full,0.05666666666666667,0.625,3.1,-0.001532021769271444,9.153141185283415e-05,-0.0038706742522705622,2184.0,0.03946024290218261,0.40291739548955435,-0.3634571525873717,0.025885225885225887,0.9741147741147741,0.004995668793003066,0.32975827186396317,0.0006767333559045496,0.2904484535637269,0.00023334053634568497,0.23060067416418573,-0.0066376183095110015,0.41175989392045403
destroyed_memory,calibrated_no_observable,0.05666666666666667,0.625,3.1,-0.001532021769271444,9.153141185283415e-05,-0.0038706742522705622,2184.0,0.03946024290218261,0.40291739548955435,-0.3634571525873717,0.025885225885225887,0.9741147741147741,0.004995668793003066,0.32975827186396317,0.0006767333559045496,0.2904484535637269,0.00023334053634568497,0.23060067416418573,-0.0066376183095110015,0.41175989392045403
destroyed_memory,calibrated_no_arbiter,0.05666666666666667,0.625,3.1,-0.001532021769271444,9.153141185283415e-05,-0.0038706742522705622,2184.0,0.03593930727144272,0.4000250031105627,-0.36408569583912,0.025206043956043957,0.9747939560439561,0.004995668793003066,0.32975827186396317,0.0006767333559045496,0.2904484535637269,0.00023334053634568497,0.23060067416418573,-0.0066376183095110015,0.41175989392045403
destroyed_memory,observable_only,0.05666666666666667,0.625,3.1,-0.001532021769271444,9.153141185283415e-05,-0.0038706742522705622,2184.0,0.0014221778570809248,0.4025416099435397,-0.4011194320864588,0.017452686202686203,0.9825473137973137,,,,,,,,
