mode,recovered,dominance,false_positive,count
exact_template_upper_bound,1.0,2.0,0.0,4718592
latent_memory_only,0.22990926106770834,-0.34159661607558145,0.0,4718592
arbiter_only,0.2298346625434028,-0.3399238504340153,0.0,4718592
memory_bounded_arbiter,0.22981897989908853,-0.272411282562788,0.0,4718592
overdriven_arbiter,0.2296973334418403,-0.26532971132714006,0.0,4718592
observable_only,0.12504471672905815,0.0,0.0,4718592
speed_only_no_memory,0.12501737806532118,0.0,0.0,4718592
null_memory,0.12496778700086805,0.0,0.0,4718592
shuffled_label_control,0.12363052368164062,-0.3453054993894808,0.22981897989908853,4718592
